size,time_us
93800,25976
93900,24225
94000,22835
94100,24381
94200,23324
94300,23123
94400,25001
94500,23050
94600,23455
94700,24303
94800,23212
94900,24050
95000,23268
95100,23742
95200,24750
95300,24098
95400,23773
95500,23537
95600,23216
95700,37978
95800,26067
95900,23615
96000,23023
96100,24567
96200,23377
96300,24441
96400,24891
96500,26213
96600,24759
96700,24577
96800,23227
96900,24286
97000,24252
97100,24067
97200,24484
97300,24422
97400,23565
97500,24343
97600,23407
97700,23599
97800,24417
97900,23657
98000,26919
98100,24299
98200,23755
98300,23630
98400,23945
98500,24998
98600,23552
98700,24362
98800,23974
98900,32745
99000,24331
99100,23842
99200,24004
99300,24696
99400,23825
99500,24171
99600,24131
99700,25309
99800,25037
99900,25182
100000,24374
