size,time_us
81000,25639
81100,25923
81200,25937
81300,26341
81400,26213
81500,26865
81600,26392
81700,26595
81800,26299
81900,26100
82000,26905
82100,26296
82200,27384
82300,26156
82400,26846
82500,27119
82600,26352
82700,26704
82800,26469
82900,28070
83000,26639
83100,26410
83200,26717
83300,27632
83400,26704
83500,27308
83600,26594
83700,28552
83800,27211
83900,27088
84000,27325
84100,26655
84200,26881
84300,26955
84400,28220
84500,27196
84600,27465
84700,26904
84800,28015
84900,26928
85000,27438
85100,27011
85200,27711
85300,28306
85400,27552
85500,27269
85600,28335
85700,27416
85800,27389
85900,27325
86000,27288
86100,27601
86200,27612
86300,29848
86400,27638
86500,27594
86600,28160
86700,28183
86800,28139
86900,28467
87000,29101
87100,28226
87200,27656
87300,27796
87400,28376
87500,27936
87600,27811
87700,28445
87800,28408
87900,28765
88000,28032
88100,28161
88200,28408
88300,28240
88400,28918
88500,30519
88600,30227
88700,28319
88800,28127
88900,29900
89000,28422
89100,32914
89200,28691
89300,28821
89400,29592
89500,29524
89600,29482
89700,29104
89800,29403
89900,28540
90000,29733
90100,29058
90200,29219
90300,29153
90400,30247
90500,28952
90600,29235
90700,29643
90800,29297
90900,30399
91000,36152
91100,29340
91200,33313
91300,29486
91400,29957
91500,29222
91600,29870
91700,29388
91800,31520
91900,31105
92000,29453
92100,29415
92200,29640
92300,29497
92400,30291
92500,29617
92600,30378
92700,49575
92800,30085
92900,29502
93000,29661
93100,30167
93200,29614
93300,30593
93400,29962
93500,31076
93600,30717
93700,29953
93800,35639
93900,32605
94000,30002
94100,31337
94200,30248
94300,29945
94400,37891
94500,31097
94600,31314
94700,30335
94800,31181
94900,30572
95000,31594
95100,30521
95200,30542
95300,31705
95400,30338
95500,30638
95600,30511
95700,42700
95800,31823
95900,31078
96000,31385
96100,31693
96200,30504
96300,31506
96400,31221
96500,31125
96600,39041
96700,31232
96800,31823
96900,32429
97000,31150
97100,30959
97200,31114
97300,30784
97400,31765
97500,31077
97600,31234
97700,31029
97800,31944
97900,31739
98000,30910
98100,32370
98200,33325
98300,31929
98400,31314
98500,31511
98600,32236
98700,31300
98800,31850
98900,46303
99000,31902
99100,31929
99200,32248
99300,31526
99400,45800
99500,32261
99600,32104
99700,40924
99800,31776
99900,32736
100000,32562
